audio_path,corpus,speaker_id,source_label,target_label
OAF_back_angry.wav,tess,OAF,angry,High
OAF_back_disgust.wav,tess,OAF,disgust,High
OAF_back_fear.wav,tess,OAF,fear,High
OAF_back_happy.wav,tess,OAF,happy,Moderate
OAF_back_neutral.wav,tess,OAF,neutral,Low
OAF_back_ps.wav,tess,OAF,pleasant surprise,Moderate
OAF_back_sad.wav,tess,OAF,sad,Moderate
OAF_bar_angry.wav,tess,OAF,angry,High
OAF_bar_disgust.wav,tess,OAF,disgust,High
OAF_bar_fear.wav,tess,OAF,fear,High
OAF_bar_happy.wav,tess,OAF,happy,Moderate
OAF_bar_neutral.wav,tess,OAF,neutral,Low
OAF_bar_ps.wav,tess,OAF,pleasant surprise,Moderate
OAF_bar_sad.wav,tess,OAF,sad,Moderate
OAF_base_angry.wav,tess,OAF,angry,High
OAF_base_disgust.wav,tess,OAF,disgust,High
OAF_base_fear.wav,tess,OAF,fear,High
OAF_base_happy.wav,tess,OAF,happy,Moderate
OAF_base_neutral.wav,tess,OAF,neutral,Low
OAF_base_ps.wav,tess,OAF,pleasant surprise,Moderate
OAF_base_sad.wav,tess,OAF,sad,Moderate
OAF_bath_angry.wav,tess,OAF,angry,High
OAF_bath_disgust.wav,tess,OAF,disgust,High
OAF_bath_fear.wav,tess,OAF,fear,High
OAF_bath_happy.wav,tess,OAF,happy,Moderate
OAF_bath_neutral.wav,tess,OAF,neutral,Low
OAF_bath_ps.wav,tess,OAF,pleasant surprise,Moderate
OAF_bath_sad.wav,tess,OAF,sad,Moderate
OAF_bean_angry.wav,tess,OAF,angry,High
OAF_bean_disgust.wav,tess,OAF,disgust,High
OAF_bean_fear.wav,tess,OAF,fear,High
OAF_bean_happy.wav,tess,OAF,happy,Moderate
OAF_bean_neutral.wav,tess,OAF,neutral,Low
OAF_bean_ps.wav,tess,OAF,pleasant surprise,Moderate
OAF_bean_sad.wav,tess,OAF,sad,Moderate
OAF_beg_angry.wav,tess,OAF,angry,High
OAF_beg_disgust.wav,tess,OAF,disgust,High
OAF_beg_fear.wav,tess,OAF,fear,High
