audio_path,corpus,speaker_id,source_label,target_label
Actor_01/03-01-01-01-01-01-01.wav,ravdess,01,neutral,Low
Actor_01/03-01-01-01-01-02-01.wav,ravdess,01,neutral,Low
Actor_01/03-01-01-01-02-01-01.wav,ravdess,01,neutral,Low
Actor_01/03-01-01-01-02-02-01.wav,ravdess,01,neutral,Low
Actor_01/03-01-02-01-01-01-01.wav,ravdess,01,calm,Low
Actor_01/03-01-02-01-01-02-01.wav,ravdess,01,calm,Low
Actor_01/03-01-02-01-02-01-01.wav,ravdess,01,calm,Low
Actor_01/03-01-02-01-02-02-01.wav,ravdess,01,calm,Low
Actor_01/03-01-02-02-01-01-01.wav,ravdess,01,calm,Low
Actor_01/03-01-02-02-01-02-01.wav,ravdess,01,calm,Low
Actor_01/03-01-02-02-02-01-01.wav,ravdess,01,calm,Low
Actor_01/03-01-02-02-02-02-01.wav,ravdess,01,calm,Low
Actor_01/03-01-03-01-01-01-01.wav,ravdess,01,happy,Moderate
Actor_01/03-01-03-01-01-02-01.wav,ravdess,01,happy,Moderate
Actor_01/03-01-03-01-02-01-01.wav,ravdess,01,happy,Moderate
Actor_01/03-01-03-01-02-02-01.wav,ravdess,01,happy,Moderate
Actor_01/03-01-03-02-01-01-01.wav,ravdess,01,happy,Moderate
Actor_01/03-01-03-02-01-02-01.wav,ravdess,01,happy,Moderate
Actor_01/03-01-03-02-02-01-01.wav,ravdess,01,happy,Moderate
Actor_01/03-01-03-02-02-02-01.wav,ravdess,01,happy,Moderate
Actor_01/03-01-04-01-01-01-01.wav,ravdess,01,sad,Moderate
Actor_01/03-01-04-01-01-02-01.wav,ravdess,01,sad,Moderate
Actor_01/03-01-04-01-02-01-01.wav,ravdess,01,sad,Moderate
Actor_01/03-01-04-01-02-02-01.wav,ravdess,01,sad,Moderate
Actor_01/03-01-04-02-01-01-01.wav,ravdess,01,sad,Moderate
Actor_01/03-01-04-02-01-02-01.wav,ravdess,01,sad,Moderate
Actor_01/03-01-04-02-02-01-01.wav,ravdess,01,sad,Moderate
Actor_01/03-01-04-02-02-02-01.wav,ravdess,01,sad,Moderate
Actor_01/03-01-05-01-01-01-01.wav,ravdess,01,angry,High
Actor_01/03-01-05-01-01-02-01.wav,ravdess,01,angry,High
Actor_01/03-01-05-01-02-01-01.wav,ravdess,01,angry,High
Actor_01/03-01-05-01-02-02-01.wav,ravdess,01,angry,High
Actor_01/03-01-05-02-01-01-01.wav,ravdess,01,angry,High
Actor_01/03-01-05-02-01-02-01.wav,ravdess,01,angry,High
Actor_01/03-01-05-02-02-01-01.wav,ravdess,01,angry,High
Actor_01/03-01-05-02-02-02-01.wav,ravdess,01,angry,High
Actor_01/03-01-06-01-01-01-01.wav,ravdess,01,fearful,High
